files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.94  T=3.10 s (899.3 files/s 185728.7 lines/s)"
1822,Java,33099,96395,210843
77,C,9915,26852,52724
255,Groovy,5671,9352,39327
47,Bourne Shell,1857,3916,15488
233,XML,2001,5477,15332
144,Python,1130,4489,6176
44,Perl,779,2975,4422
60,C/C++ Header,1536,7202,4260
4,Web Services Description,506,328,2919
9,Text,41,0,1753
1,CSS,196,49,941
14,make,277,812,865
41,Ant,404,1474,636
3,m4,59,1,540
3,Bourne Again Shell,80,144,301
1,XSLT,23,69,288
5,HTML,52,142,165
4,JSON,0,0,98
5,INI,0,0,78
1,YAML,1,0,70
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
3,Properties,3,76,15
2784,SUM,57685,159889,357366
